,Analyst_factor,NegMktValue,technology_factor,tps_sps,momentumn_factor,avgwght_momentum,roeQYOYD,roeTTMQOQD,conSude,aiNpYOY,conDaPE60,conDaPS40,hkHoldVolChgB20,hkHoldVolChgB60,daizhuerjiu,FlowerHidInForest,caomujiebing,decay_panic,flyintofire,month_jump,EP_d,ovalMbsr20D
Analyst_factor,1.0,-0.28086544540286157,-0.06647364762821475,0.10163347874618463,0.13384449123992512,0.036318710372772484,0.17260444851003515,0.1575732051230098,0.2554133802661602,0.11459783768721238,0.24119607293647372,0.14593079809437687,0.021747854281295855,0.03129996498605153,-0.0397783410872009,0.057220811733598366,0.016574128759480812,0.019735314031034207,0.06326305268317167,0.12168040521226343,0.0876964994938622,0.09039493042762714
NegMktValue,-0.28086544540286157,1.0,0.29094340948292574,-0.24556098575317228,-0.05123108707479003,-0.08730745211797074,-0.07543289106320289,-0.06388526899321322,-0.1064929248441885,-0.050964944042406646,-0.0024814812890181486,0.009187529795918734,-0.012776310090678311,-0.0023048424458013044,0.20452114215521233,-0.003365520626400263,0.009864759384027255,-0.024919738956437093,-0.04982358501642385,-0.16879923908494612,-0.0027339998155982426,-0.017619326266831707
technology_factor,-0.06647364762821475,0.29094340948292574,1.0,0.25003455960504184,0.32987563677101145,0.10262802274937434,-0.0012785593889259796,-0.010402807110387663,-0.07498955343154469,-0.07388869629969812,-0.09438504863298317,-0.13076022300588558,-0.031004562412105433,-0.042957645304875884,0.41322177417549577,0.2467002933578298,0.11264808010156953,0.09084588957335725,0.17606672781078553,0.036039481407628825,-0.13430459055056881,0.25959811203009364
tps_sps,0.10163347874618463,-0.24556098575317228,0.25003455960504184,1.0,0.07049623809000102,0.4630854055299534,-0.03817523676224988,-0.044310591005402945,0.00041245606919912945,-0.0502998708650868,0.10507217351080075,0.16972065693428956,0.009003057165272301,-0.011866388571465792,0.5226846087389571,0.5025547139110469,0.4562473335123029,0.6090927872199752,0.6329693847027461,0.6696988779334933,0.12719039575243107,0.0773684735880481
momentumn_factor,0.13384449123992512,-0.05123108707479003,0.32987563677101145,0.07049623809000102,1.0,0.006630008534632531,0.13084835767707034,0.11379971651754996,0.06380712474300029,0.028734300791376212,-0.05539176888398018,-0.1121838912896432,0.002127209242156657,-0.002060928330016426,0.13760950377112188,0.1596042802918821,0.09072910787896588,0.07486614144862204,0.15757344304094456,0.0740379108039783,-0.08437373858051773,0.10300477010519528
avgwght_momentum,0.036318710372772484,-0.08730745211797074,0.10262802274937434,0.4630854055299534,0.006630008534632531,1.0,-0.031691768191487474,-0.034522517030551106,-0.011870921807855248,-0.0223438573996836,0.06846713017657799,0.10567759841030638,0.00364792086985841,-0.007135398524703319,0.2569444685008924,0.2503151420382612,0.2875263712487176,0.37832526322705456,0.31034047950332966,0.3648979711612857,0.10767510183881182,0.01296279288862492
roeQYOYD,0.17260444851003515,-0.07543289106320289,-0.0012785593889259796,-0.03817523676224988,0.13084835767707034,-0.031691768191487474,1.0,0.8967748877449448,0.3071470336141606,0.39881561953464795,0.07896060835754012,-0.012921993780686489,0.011079424643580416,0.02663812731656722,-0.06953210377201137,0.004507629848090895,-0.03215753594330513,-0.04733427441944074,-0.05793600625440747,0.009825163267227143,0.24775160962231127,0.050984487783633584
roeTTMQOQD,0.1575732051230098,-0.06388526899321322,-0.010402807110387663,-0.044310591005402945,0.11379971651754996,-0.034522517030551106,0.8967748877449448,1.0,0.286494026239007,0.3894721792726874,0.07916774739829677,-0.010045948277674629,0.01604140268054695,0.02803853441262767,-0.0674881308330073,-0.00019207853583588476,-0.03286861495600042,-0.04617199742777947,-0.05422303816449419,0.009221851767265917,0.24477847026320748,0.04442390851068872
conSude,0.2554133802661602,-0.1064929248441885,-0.07498955343154469,0.00041245606919912945,0.06380712474300029,-0.011870921807855248,0.3071470336141606,0.286494026239007,1.0,0.3971445320998663,0.07576463703707907,0.00809284877806632,0.006846100961179203,0.013127659280615779,-0.07415342912059315,0.005559116729050643,-0.05667106310349514,-0.05164226000292007,-0.06568514143028453,0.023720629215282885,0.10647140554131672,0.0669616659513561
aiNpYOY,0.11459783768721238,-0.050964944042406646,-0.07388869629969812,-0.0502998708650868,0.028734300791376212,-0.0223438573996836,0.39881561953464795,0.3894721792726874,0.3971445320998663,1.0,0.04732855354624973,0.007690740301617415,0.0065344025690374265,0.015135085452897745,-0.08601688091160173,-0.029766035227083577,-0.05195128355986601,-0.06101236297380701,-0.0924751847036037,0.0030188714958753813,0.12310143389728402,0.016720582113389892
conDaPE60,0.24119607293647372,-0.0024814812890181486,-0.09438504863298317,0.10507217351080075,-0.05539176888398018,0.06846713017657799,0.07896060835754012,0.07916774739829677,0.07576463703707907,0.04732855354624973,1.0,0.5352517210763863,-0.0015991762611970708,-0.007684403168903964,0.06215441106205003,0.05357945810895483,0.10721291896047912,0.1600633532245555,0.15114919827753034,0.12925386311242215,0.2570766807937171,-0.05135943764537639
conDaPS40,0.14593079809437687,0.009187529795918734,-0.13076022300588558,0.16972065693428956,-0.1121838912896432,0.10567759841030638,-0.012921993780686489,-0.010045948277674629,0.00809284877806632,0.007690740301617415,0.5352517210763863,1.0,-0.012644015719142636,-0.022658689712957408,0.09944812267870971,0.09210353045785497,0.15892195597909095,0.25437068173432065,0.21278468393422795,0.1831286634676089,0.25790979606517944,-0.09048069345972583
hkHoldVolChgB20,0.021747854281295855,-0.012776310090678311,-0.031004562412105433,0.009003057165272301,0.002127209242156657,0.00364792086985841,0.011079424643580416,0.01604140268054695,0.006846100961179203,0.0065344025690374265,-0.0015991762611970708,-0.012644015719142636,1.0,0.433591154850622,-0.002516107612274983,0.007770577767286978,0.0029456150860852374,0.00033045720745518225,-0.00541431428156089,0.00877902648506199,0.0006246854602045799,-0.0993246425583557
hkHoldVolChgB60,0.03129996498605153,-0.0023048424458013044,-0.042957645304875884,-0.011866388571465792,-0.002060928330016426,-0.007135398524703319,0.02663812731656722,0.02803853441262767,0.013127659280615779,0.015135085452897745,-0.007684403168903964,-0.022658689712957408,0.433591154850622,1.0,-0.023183450003702866,-0.0032018775517738372,-0.00578861432756129,-0.017612932350508717,-0.03862724184566717,0.00032034968676715166,0.0037785040401377744,-0.027289912455587564
