              group   年化收益率    夏普比率    最大回撤
0           group_0  0.1633  0.8090 -0.2054
1           group_1  0.1256  0.5935 -0.3041
2           group_2  0.1109  0.5055 -0.3052
3           group_3  0.0954  0.4367 -0.3248
4           group_4  0.0745  0.3315 -0.3541
5           group_5 -0.0183 -0.0812 -0.3697
6           group_6 -0.0461 -0.1986 -0.4031
7           group_7 -0.0537 -0.2234 -0.3776
8           group_8 -0.0871 -0.3476 -0.4088
9           group_9 -0.1589 -0.6116 -0.3989
10  longshort_hedge  0.3190  2.2890 -0.1509
