              group   年化收益率    夏普比率    最大回撤
0           group_0 -0.1040 -0.8181 -0.0953
1           group_1 -0.0553 -0.4165 -0.0983
2           group_2  0.0289  0.2159 -0.0626
3           group_3  0.0501  0.3444 -0.0894
4           group_4 -0.0305 -0.2127 -0.0940
5           group_5  0.1110  0.7795 -0.0557
6           group_6  0.0524  0.3398 -0.0855
7           group_7  0.1202  0.7773 -0.0785
8           group_8 -0.0183 -0.1224 -0.0938
9           group_9 -0.0070 -0.0439 -0.0951
10  longshort_hedge -0.0970 -1.1748 -0.0624
