              group   年化收益率    夏普比率    最大回撤
0           group_0  0.0953  0.4980 -0.3184
1           group_1  0.1157  0.5910 -0.3636
2           group_2  0.0920  0.4613 -0.3779
3           group_3  0.0840  0.4303 -0.3595
4           group_4  0.1241  0.5997 -0.3174
5           group_5  0.1395  0.6856 -0.2927
6           group_6  0.0793  0.4050 -0.3138
7           group_7  0.0428  0.2265 -0.3392
8           group_8  0.0042  0.0231 -0.3554
9           group_9 -0.0465 -0.2645 -0.3529
10  longshort_hedge  0.1435  1.4449 -0.0926
